,Country.Name,Country.Code,Series.Name,Series.Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
2,Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,0.0544999643556868,0.0544999643556868,0.00604793176489582,0.0633079665118605,-0.0874504448643199,-0.074063171219514,0.0650673537822066,0.13319635503518,0.224962038831647,0.165115198751504,0.0843219619033422,0.0998095210842013,0.161726915748178,0.14729712658646,-0.12302676662671,-0.0486254793814799,0.0410219767323994,-0.103553370207601,0.0275043352466529,-0.00826026989430374,-0.165308981785124,0.0416479742488103,0.0646985516217685,0.0646985516217685
3,Croatia,HRV,GDP per capita (current LCU),NY.GDP.PCAP.CN,0.102286980837926,0.102286980837926,0.127512114176477,0.0937027812738182,0.0311820910494316,0.0862875585262281,0.107238132909056,0.0809227343392133,0.0898428817263559,0.0720605762887506,0.0700272867865165,0.0826357881146037,0.0880032321007566,0.072823424539924,-0.0483384348931731,-0.00447577327641876,0.0163376093207671,-0.00487853906083101,0.00566642212900427,0.00341861543579843,0.0317057626114966,0.0401208264830782,0.0505607756277578,0.0505607756277578
4,Croatia,HRV,GDP (current LCU),NY.GDP.MKTP.CN,0.089888164388246,0.089888164388246,0.12324370732771,0.0931459785456523,0.0269899772127392,0.0772299310367785,0.0722187047989664,0.0814609929078014,0.0901034227598906,0.0723205555444695,0.0712212588822703,0.0828522862485127,0.0878051503423638,0.0727131560028756,-0.0494406503966901,-0.00675694151174414,0.0129372002986892,-0.00795586790599259,0.0028934400289344,-0.000648430195735441,0.0236914632997268,0.033394146560827,0.0390927762872529,0.0390927762872529
5,Croatia,HRV,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,0.182233884976721,0.182233884976721,0.139737567387876,0.0367671224657977,0.0580244611087004,0.230104383631948,0.123988837970086,0.0576541245082275,0.118051246089663,0.0869518340126737,0.0677441459693142,0.0908522644562993,0.0709535250035799,0.0603827178950516,-0.170838438648696,0.0770150411166939,0.0787971692848054,0.0218510026567675,0.0312310491206792,0.0552094922752014,0.0818275241928578,0.0453560687903296,0.0832365238526069,0.0832365238526069
6,Croatia,HRV,GNI per capita (current LCU),NY.GNP.PCAP.CN,0.10043724445816,0.10043724445816,0.130003065228092,0.0880115301931154,0.01701656674936,0.0882329832235125,0.107881223021138,0.0832521727207926,0.0739983556695505,0.0874280356590151,0.0653353405343285,0.0805449190839094,0.0908178305235767,0.0659692492530384,-0.0534866641015312,-0.000233197659824819,0.0170321129635862,-0.0075267986904582,0.0153362806622545,0.00389476576994544,0.0447578766320244,0.0148794033849118,0.0639272178122427,0.0639272178122427
7,Croatia,HRV,Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,0.0198256393780013,0.0198256393780013,0.13096010278244,0.137548252351653,0.0010530584523984,0.157770239596749,0.0720200703616044,0.0816354284563748,0.0608949550580929,0.0362928641465377,0.0652230603152268,0.0912742523088058,0.0583899617784402,0.0550973330347282,-0.11061305719424,0.0189874885181572,-0.019314795563638,0.065290595198986,0.0410726909361495,0.00456284288258471,0.0535869992661545,0.0380019821311905,0.0639103780768348,0.0639103780768348
8,Croatia,HRV,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,-0.0332218693337937,-0.0332218693337937,0.0324691214261505,-0.0633556746777289,-0.0367115278341363,-0.00407175109827969,-0.018574421768718,-0.0195761237677292,0.0257012885474096,0.0422152604009234,-0.0263342309161784,-0.0139289762200678,-0.0192958202561338,-0.00536015945465547,0.00194460551601833,-0.0282191954751112,0.00821349477905197,-0.0119443585755216,-0.0255286069250751,0.00491379085389815,-0.00883370313898292,-0.00531617224241619,-0.0204934731399053,-0.0204934731399053
9,Croatia,HRV,GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,0.089888164388246,0.089888164388246,0.12324370732771,0.0931459785456523,0.0269899772127392,0.0772299310367785,0.0722187047989664,0.0814609929078014,0.0901034227598906,0.0723205555444695,0.0712212588822703,0.0828522862485127,0.0878051503423638,0.0727131560028756,-0.0494406503966901,-0.00675694151174414,0.0129372002986892,-0.00795586790599259,0.0028934400289344,-0.000648430195735441,0.0236914632997268,0.033394146560827,0.0390927762872529,0.0390927762872529
10,Croatia,HRV,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,-0.0164542657422354,-0.0164542657422354,0.0564973828840369,-0.0572762400157665,-0.00696589048201193,-0.029173837227274,0.00456982161953215,0.0404068542474221,-0.0041142500925974,-0.0133308307829303,0.00115324852009544,0.00561866659057551,0.00483124843727826,0.00717034985096415,-0.0417311700286372,-0.0327554996790238,0.000394724387283081,-0.00938065828476216,0.000126868822528231,-0.0148504846359944,-0.00461376496857419,-0.00430997440394472,0.00550872816073355,0.00550872816073355
11,Croatia,HRV,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,0.123234815739643,0.123234815739643,0.261380706451929,-0.105578947871879,0.0331907638333774,0.148189588283317,0.130073719036049,0.149645397564238,0.104882996869804,0.0562096201555145,0.0707186731185949,0.101532651179131,0.0838217346405053,0.0779551609432772,-0.277963905306742,-0.010984095030396,0.079016487518485,-0.000736263169907452,0.0318347387854897,0.0240700675492358,0.0752192178282156,0.0372730819970642,0.0958588828223435,0.0958588828223435
